caso,id,a,b,beta,x0,t,A_max_abs_u
2,a0_b0_beta200_x00,0,0,200,0,0.2,0.4997740505922322
2,a0_b0_beta200_x00,0,0,200,0,0.4,0.4983528554185805
2,a0_b0_beta200_x00,0,0,200,0,0.6,0.4967203734116646
2,a0_b0_beta200_x00,0,0,200,0,0.8,0.4948961997250976
2,a0p5_b0_beta200_x00,0.5,0,200,0,0.2,0.479395029768898
2,a0p5_b0_beta200_x00,0.5,0,200,0,0.4,0.4547829553671558
2,a0p5_b0_beta200_x00,0.5,0,200,0,0.6,0.4312511192137565
2,a0p5_b0_beta200_x00,0.5,0,200,0,0.8,0.4087795823085291
2,a1_b0_beta200_x00,1,0,200,0,0.2,0.4599577664316868
2,a1_b0_beta200_x00,1,0,200,0,0.4,0.4152384371712287
2,a1_b0_beta200_x00,1,0,200,0,0.6,0.3747107376727834
2,a1_b0_beta200_x00,1,0,200,0,0.8,0.338014704494944
2,a2_b0_beta200_x00,2,0,200,0,0.2,0.4237192712521984
2,a2_b0_beta200_x00,2,0,200,0,0.4,0.3467024087383517
2,a2_b0_beta200_x00,2,0,200,0,0.6,0.2835716362837513
2,a2_b0_beta200_x00,2,0,200,0,0.8,0.2318563363360456
3,a0_b0_beta200_x00,0,0,200,0,0.2,0.4997740505922322
3,a0_b0_beta200_x00,0,0,200,0,0.4,0.4983528554185805
3,a0_b0_beta200_x00,0,0,200,0,0.6,0.4967203734116646
3,a0_b0_beta200_x00,0,0,200,0,0.8,0.4948961997250976
3,a0_b0p5_beta200_x00,0,0.5,200,0,0.2,0.5004788415426961
3,a0_b0p5_beta200_x00,0,0.5,200,0,0.4,0.4997744823153957
3,a0_b0p5_beta200_x00,0,0.5,200,0,0.6,0.4988566410655754
3,a0_b0p5_beta200_x00,0,0.5,200,0,0.8,0.4977509199528031
3,a0_b1_beta200_x00,0,1,200,0,0.2,0.5011841398862518
3,a0_b1_beta200_x00,0,1,200,0,0.4,0.5011983441408565
3,a0_b1_beta200_x00,0,1,200,0,0.6,0.5009978609674908
3,a0_b1_beta200_x00,0,1,200,0,0.8,0.5006140115419095
4,a1_b1_beta200_x00,1,1,200,0,0.2,0.4612527007584545
4,a1_b1_beta200_x00,1,1,200,0,0.4,0.4176049693566534
4,a1_b1_beta200_x00,1,1,200,0,0.6,0.3779312957267577
4,a1_b1_beta200_x00,1,1,200,0,0.8,0.3419059221351803
5,a1_bm1_beta200_x00,1,-1,200,0,0.2,0.4586647520835353
5,a1_bm1_beta200_x00,1,-1,200,0,0.4,0.4128794606658609
5,a1_bm1_beta200_x00,1,-1,200,0,0.6,0.3715060286849282
5,a1_bm1_beta200_x00,1,-1,200,0,0.8,0.3341431435002145
6,a0p5_bm1_beta25_x00p5,0.5,-1,25,0.5,0.2,0.4826360960041037
6,a0p5_bm1_beta25_x00p5,0.5,-1,25,0.5,0.4,0.4554044485757084
6,a0p5_bm1_beta25_x00p5,0.5,-1,25,0.5,0.6,0.4296609190560949
6,a0p5_bm1_beta25_x00p5,0.5,-1,25,0.5,0.8,0.4053632388742698
7,a1_bm1_beta25_x00,1,-1,25,0,0.2,0.4700135479203486
7,a1_bm1_beta25_x00,1,-1,25,0,0.4,0.4225103287481091
7,a1_bm1_beta25_x00,1,-1,25,0,0.6,0.379772199234421
7,a1_bm1_beta25_x00,1,-1,25,0,0.8,0.341350319793485
7,a1_bm1_beta50_x00,1,-1,50,0,0.2,0.4651109061596284
7,a1_bm1_beta50_x00,1,-1,50,0,0.4,0.4188034359556934
7,a1_bm1_beta50_x00,1,-1,50,0,0.6,0.3771025591441915
